NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
6,egfet,34251880.01,33326408.0,48245181.0,33851736.0,0.002756,0.8867,0.1021,116.4,0.0,0.0,352.0,352.0,7561.0,7,1
7,egfet,34251880.01,33326408.0,31920807.0,27608382.0,0.001733,0.962,0.1317,173.7,0.0,0.0,544.0,544.0,16180.0,7,1
8,egfet,34251880.01,33326408.0,35960024.0,34141348.0,0.001898,0.9446,0.1762,196.8,0.0,0.0,736.0,736.0,23790.0,7,1
9,egfet,34251880.01,33326408.0,36706077.0,30547162.0,0.002167,0.9592,0.1586,198.3,0.0,0.0,608.0,608.0,21600.0,7,1
-1,egfet,33102280.0,32977572.0,71121435.0,32977572.0,0.004183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2
0,egfet,33102280.0,32977572.0,66007088.0,31761480.0,0.003978,0.2541,0.00309,5.033,0.0,0.0,32.0,32.0,110.9,7,2
1,egfet,33102280.0,32977572.0,59913358.0,32893974.0,0.003563,0.7261,0.00861,13.6,0.0,0.0,48.0,48.0,172.8,7,2
2,egfet,33102280.0,32977572.0,55446614.0,31675734.0,0.003302,0.8115,0.01471,24.96,0.0,0.0,64.0,64.0,333.1,7,2
3,egfet,33102280.0,32977572.0,55446614.0,31675734.0,0.003302,0.8115,0.01471,24.96,0.0,0.0,64.0,64.0,333.1,7,2
4,egfet,33102280.0,32977572.0,52984674.0,32119946.0,0.003141,0.8115,0.01687,24.91,0.0,0.0,64.0,64.0,332.4,7,2
5,egfet,33102280.0,32977572.0,53981741.0,32872874.0,0.003435,0.8414,0.02397,32.08,0.0,0.0,68.0,68.0,470.3,7,2
6,egfet,33102280.0,32977572.0,53461724.0,32648376.0,0.003119,0.8764,0.04222,53.49,0.0,0.0,112.0,112.0,1410.0,7,2
7,egfet,33102280.0,32977572.0,48900254.0,32973096.0,0.002777,0.8434,0.04177,55.22,0.0,0.0,116.0,116.0,1493.0,7,2
8,egfet,33102280.0,32977572.0,47067674.0,31850274.0,0.002918,0.8749,0.04319,56.23,0.0,0.0,124.0,124.0,1728.0,7,2
9,egfet,33102280.0,32977572.0,44798344.0,31277482.0,0.002665,0.9206,0.04692,63.33,0.0,0.0,176.0,176.0,2073.0,7,2
