NetlID,Lib,SynClk,SimClk,Area,Delay,Power,ErrorRate,MRE,MED,NMED,MinError,MaxError,ErrorRange,Variance,MultPrecision,MultID
0,egfet,26070978.0,25988988.0,11617997.0,15868459.0,0.0007529,1.0,0.4916,110.2,36.73,2.0,976.0,974.0,48520.0,5,1
1,egfet,26070978.0,25988988.0,5386620.0,9418433.0,0.0003092,1.0,0.8912,109.3,36.45,2.0,794.0,792.0,19300.0,5,1
2,egfet,26070978.0,25988988.0,5427040.0,10332910.0,0.0002291,1.0,0.944,175.3,58.44,8.0,876.0,868.0,46570.0,5,1
3,egfet,26070978.0,25988988.0,2713520.0,10332910.0,0.0001136,1.0,1.004,174.2,58.05,4.0,886.0,882.0,44900.0,5,1
4,egfet,26070978.0,25988988.0,3885720.0,10332910.0,0.0001911,1.0,1.018,174.9,58.3,8.0,890.0,882.0,44390.0,5,1
5,egfet,26070978.0,25988988.0,2713520.0,10332910.0,0.0001136,1.0,1.015,175.1,58.38,12.0,894.0,882.0,44550.0,5,1
6,egfet,26070978.0,25988988.0,2828360.0,9369130.0,0.0001547,1.0,1.43,184.7,61.57,2.0,764.0,762.0,35960.0,5,1
7,egfet,26070978.0,25988988.0,476280.0,1375929.5,1.604e-05,0.9685,3.407,452.3,150.8,0.0,954.0,954.0,82740.0,5,1
8,egfet,26070978.0,25988988.0,627920.0,1205773.75,4.788e-05,1.0,1.85,262.0,87.35,2.0,748.0,746.0,48170.0,5,1
9,egfet,26070978.0,25988988.0,0.0,0.0,0.0,,,,,,,,,5,1
10,egfet,26070978.0,25988988.0,0.0,0.0,0.0,,,,,,,,,5,1
11,egfet,26070978.0,25988988.0,0.0,0.0,0.0,,,,,,,,,5,1
-1,egfet,21396904.0,21220268.0,38692407.0,21220268.0,0.002692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2
0,egfet,21396904.0,21220268.0,10980517.0,13094549.0,0.0006556,1.0,3.196,248.3,82.75,8.0,856.0,848.0,72930.0,5,2
1,egfet,21396904.0,21220268.0,7357380.0,10332910.0,0.0003695,0.9379,3.178,246.8,82.26,0.0,888.0,888.0,72920.0,5,2
2,egfet,21396904.0,21220268.0,5363090.0,7168185.5,0.0003723,0.9688,3.436,248.6,82.87,0.0,876.0,876.0,72050.0,5,2
